TABLE_SCHEMA;TABLE_NAME;SoDong
dbo;D_OLA;0
dbo;D_OLA_Container;0
dbo;D_OLA_Hang;0
dbo;D_OLA_V5;0
dbo;D_OLA_V5_HANG;0
dbo;D_RMR;0
dbo;D_RMR_HANG;0
dbo;D_RMR_HANG_CONT;0
dbo;D_VAF511;0
dbo;D_VAF511_Chitiet;0
dbo;D_VAF805;0
dbo;D_VAF806;0
dbo;D_VAF806_Chitiet;0
dbo;D_VAF807;0
dbo;D_VAF808;0
dbo;DAI_LY_TRINH_KY;0
dbo;DaiLy_DoanhNghiep;0
dbo;DAIR;0
dbo;DAIR_DETAIL;0
dbo;DAIR_HANG;0
dbo;DBKHANGXUATCX;0
dbo;DCHITIETNT;0
dbo;DChungThuGD;0
dbo;DChungThuGD_CHI_TIET;0
dbo;DChungTu;0
dbo;DChungTuNo;0
dbo;DCHUNGTUTHANHTOAN;0
dbo;DCHUNGTUTHANHTOAN_CHI_TIET;0
dbo;DChuyenCK;0
dbo;DCO;0
dbo;DCO_CHI_TIET;0
dbo;DCO_HANG;0
dbo;DCO_NOP;0
dbo;DCO_NOP_CO;0
dbo;DCUONGCHE;0
dbo;DCUONGCHE_TK;0
dbo;DDANGKYCKS;0
dbo;DDeNghiChuyenCK;0
dbo;DDGIAYPHEP_CHI_TIET;0
dbo;DDIEUCHINH;0
dbo;DDINHMUC;0
dbo;DDINHMUC_SUA;0
dbo;DDINHMUC_TEMP;0
dbo;DDINHMUC_TT;0
dbo;DDINHMUC_VN;0
dbo;DDONHANG;0
dbo;DDONHANG_CT;0
dbo;DDRIVE_CONFIG;0
dbo;DDRIVE_DONGBO;0
dbo;DDRIVE_DONGBO_LOG;0
dbo;DDRIVE_DONVI;0
dbo;DDRIVE_MAYTINH;0
dbo;DDRIVE_SESSION;0
dbo;DDSTKNFIFO;0
dbo;DDSTKXFIFO;0
dbo;DEAW;0
dbo;DGiayKetQuaKT;0
dbo;DGiayKetQuaKT_CHI_TIET;0
dbo;DGiayKiemTraCL;0
dbo;DGiayKiemTraCL_CHI_TIET;0
dbo;DGiayNopTien;0
dbo;DGiayNopTien_Chi_Tiet;0
dbo;DGIAYPHEP;0
dbo;DGIAYPHEP_CHI_TIET;0
dbo;DGIAYPHEP_SAA;0
dbo;DGIAYPHEP_SAA_CANG;0
dbo;DGIAYPHEP_SAA_ChiTiet;0
dbo;DGIAYPHEP_SEA;0
dbo;DGIAYPHEP_SEA_ChiTiet;0
dbo;DGIAYPHEP_SFA;0
dbo;DGIAYPHEP_SFA_ChiTiet;0
dbo;DGIAYPHEP_SMA;0
dbo;DGIAYPHEP_SMA_ChiTiet;0
dbo;DHANG_MIENTHUE;0
dbo;DHANG_MIENTHUE_Chi_Tiet;0
dbo;DHANG_TN_TX;0
dbo;DHANG_TN_TX_Chi_Tiet;0
dbo;DHANGMD_GP;0
dbo;DHANGMDDC;0
dbo;DHANGMDDC_CT;0
dbo;DHANGMDKH;0
dbo;DHANGMDTH;0
dbo;DHESODOICIF;0
dbo;DHOADON;0
dbo;DHOADON_CHITIET;0
dbo;DHoaDonTM;0
dbo;DHoaDonTM_CHI_TIET;0
dbo;DHOSOTOKHAI;0
dbo;DHOSOTOKHAI_ChungTu;0
dbo;DHQHP_DOANHNGHIEP_DANHGIA;0
dbo;DHRM;0
dbo;DHRM_CHI_TIET;0
dbo;DHRM_HANG;0
dbo;DIMF01;0
dbo;DKB_DULIEU_HQ;0
dbo;DKB_DULIEU_HQ_BACKUP;0
dbo;DKBSUAHUY;0
dbo;DKBSUAHUY_DM;0
dbo;DKBSUAHUY_HANG;0
dbo;DKEHOACHNPL;0
dbo;DKEHOACHNPLThang;0
dbo;DKEHOACHSP;0
dbo;DKEHOACHSP_TT;0
dbo;DKEHOACHSP_TTThang;0
dbo;DKEHOACHSPThang;0
dbo;DKHO_USERCODE;0
dbo;DLANTHANHLY;0
dbo;DLENHSX;0
dbo;DLENHSX_DM;0
dbo;DLENHSX_SP;0
dbo;DLoaiHang;0
dbo;DLog_DonHang;0
dbo;DNPLCHUATL;0
dbo;DNPLCU_TK;0
dbo;DNPLNHAP;0
dbo;DNPLNHAP_TL;0
dbo;DNPLNHAP_TL_CT;0
dbo;DNPLNHAP_TL_TH;0
dbo;DNPLNTFIFO;0
dbo;DNPLNTMAN;0
dbo;DNPLSDMAN;0
dbo;DNPLSDMAN_TON;0
dbo;DNPLTXMAN;0
dbo;DNPLTXUAT;0
dbo;DNPLTXUAT_TL;0
dbo;DNPLXGC;0
dbo;DNPLXHMAN;0
dbo;DNPLXUAT;0
dbo;DNPLXUAT_TL;0
dbo;DSCH810AWB;0
dbo;DSCH810DET;0
dbo;DSCH810SN;0
dbo;DSCH858LOG;0
dbo;DSPCU_TK;0
dbo;DTACHVANDON;0
dbo;DTACHVANDON_CT;0
dbo;DTACHVANDON_CT_NHANH;0
