Bang_Con;Cot_KhoaNgoai;Bang_Cha;Cot_KhoaChinh;CONSTRAINT_NAME
DNPLSDMAN;NAMDKX;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;NAMDKX;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQ;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;NAMDKX;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQ;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
